Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Eldorado do Carajás,1502954,1.35006079591215,0.402087093030585,-6.1,-49.35,230765.4,7229,50382,8758,9598,135813,26249,1.45159e-06,13469,0.86,0.05,0,0.168640722,0.64,0.050384615,11125,-6.1,-49.35,Amazônia
Faro,1503002,1,0.297828878705363,-2.17,-56.74,6478.9,12,1,333,7,2067,4973.37,3.38409e-05,15127,0.83,0.04,1e-10,0.224489796,0.89,0.058252427,0.6,-2.17,-56.74,Amazônia
Floresta do Araguaia,1503044,1.13497093613985,0.338027121273709,-7.55,-49.71,207691,3477,28560.93,5084,908,100743,40724.9,2.57349e-06,6941,0.86,0.04,0.000783699,0.151125402,0.99,0.123824451,5733,-7.55,-49.71,Amazônia
Garrafão do Norte,1503077,2.68056986378342,0.617074142414295,-1.93,-47.05,93252,1679,35002,5825,1665,42102,11805,8.16801e-06,12639,0.93,0.02,0.007236545,0.087628866,0.69,0.026684758,15862,-1.93,-47.05,Amazônia
Goianésia do Pará,1503093,1.29525360860272,0.298170743667707,-3.84,-49.09,351585,3569,42396.98,4068,1702,112228,126326,2.62246e-06,13609,0.75,0.09,0,0.169513798,0.91,0.180545321,5603,-3.84,-49.09,Amazônia
Gurupá,1503101,1.64994262961724,0.379821077211851,-1.4,-51.63,57188.4,1157,4846,5283,1085,28870,52835.28,5.58419e-05,14045,0.97,0.05,0.002971768,0.07946027,1,0.05423477,3801,-1.4,-51.63,Amazônia
Igarapé-Açu,1503200,1.44978853452082,0.333745084845062,-1.12,-47.61,48858.4,3241,20970,5880,896,75241,13816,2.54159e-05,23421,0.81,0.07,0.002351834,0.184516129,0.79,0.054092192,48033,-1.12,-47.61,Amazônia
Igarapé-Miri,1503309,1.51709277435019,0.349238695600997,-1.97,-48.95,46123.1,6451,13669.35,14786,4769,93119,15339.69,4.71894e-05,13015,0.94,0.01,0.003882993,0.068577649,0.97,0.050478902,30546,-1.97,-48.95,Amazônia
Inhangapi,1503408,1.02081478316976,0.234994213506239,-1.42,-47.91,18180.6,452,1,1837,228,25767,9240.8,6.85468e-05,11815,0.87,0.3,0,0.241014799,0.9,0.018726592,24155,-1.42,-47.91,Amazônia
Ipixuna do Pará,1503457,1.93246880548053,0.444859336440194,-2.55,-47.49,159821.8,19155,36979,6872,3152,125415,43997,4.82712e-06,14922,0.83,0.08,0.0009298,0.09122807,0.79,0.019525802,11933,-2.55,-47.49,Amazônia
Irituia,1503507,1.76220683626967,0.405664589063504,-1.76,-47.43,77692.4,2042,17076.2,7984,429,73039,26506,1.20648e-05,16.18,0.87,0.06,0.008913413,0.139674379,0.92,0.063242784,22962,-1.76,-47.43,Amazônia
Itaituba,1503606,0.999999999999949,0.230202596377514,-4.27,-55.98,341171.5,2135,28252.73,5288,1600,62626,194626,1.32464e-06,15913,0.73,0.04,0,0.158398608,0.95,0.082654978,1588,-4.27,-55.98,Amazônia
Itupiranga,1503705,1.8747327097813,0.43156833730553,-5.13,-49.32,460210.3,12491,88569,13382,7947,270910,111262,8.56041e-07,13.01,0.82,0.09,0.012356842,0.164651494,0.97,0.219107896,6578,-5.13,-49.32,Amazônia
Jacareacanga,1503754,1.70164500538434,0.391723098352324,-6.22,-57.75,163832.1,2663,19056.53,2286,650,46259,76798.7,5.7804e-06,8256,0.68,0.01,0,0.389952153,0.79,0.011520737,0.15,-6.22,-57.75,Amazônia
Jacundá,1503804,3.02114777236026,0.69547606123751,-4.45,-49.11,132951,1668,18805.71,2408,1419,34697,26734.39,2.8493e-06,10511,0.83,0.04,0.004103967,0.173387097,0.92,0.041039672,28644,-4.45,-49.11,Amazônia
Juruti,1503903,2.61526407008976,0.60204057914752,-2.15,-56.09,37763.3,874,5627.07,6664,566,21858,18095.14,1.05227e-05,9594,0.86,0.06,0.006729475,0.127196065,0.9,0.066621804,6782,-2.15,-56.09,Amazônia
Limoeiro do Ajuru,1504000,1.42359845195629,0.327716059839364,-1.89,-49.38,37122.2,949,4486.14,14121,2911,62194,31693,7.86847e-05,4574,0.92,0.04,0.001311303,0.145353455,1,0.025963808,18882,-1.89,-49.38,Amazônia
Mãe do Rio,1504059,2.32345170111043,0.534864614153401,-2.05,-47.55,29734.2,3455,21461.4,2659,3291,34619,9012,9.36631e-06,14673,0.86,0.06,0.003740648,0.188596491,0.66,0.140897756,62323,-2.05,-47.55,Amazônia
Magalhães Barata,1504109,1.50750703703659,0.347032033983215,-0.79,-47.59,11680.6,169,1792.03,1467,140,6861,8096.74,0.000395731,12545,0.77,0.08,0.006802721,0.333333333,0.69,0.034013605,25567,-0.79,-47.59,Amazônia
Marabá,1504208,1.3962506276849,0.321420519686816,-5.36,-49.11,738373.8,19783,153250,16460,14745,411775,175837.91,4.83167e-07,16763,0.8,0.06,0.006220547,0.177080698,0.74,0.086145146,17953,-5.36,-49.11,Amazônia
Maracanã,1504307,1.25103782566418,0.287992155634389,-0.76,-47.45,19236.2,955,5952,6155,616,42819,8396,0.000100859,21724,0.84,0.02,0.001138952,0.180327869,0.81,0.027334852,33517,-0.76,-47.45,Amazônia
Marapanim,1504406,1.64927674353403,0.379667788506604,-0.71,-47.69,12328.7,411,4284,3630,192,19873,6142.03,0.000135736,15336,0.85,0.05,0.003293085,0.125845738,0.88,0.051591658,34635,-0.71,-47.69,Amazônia
Marituba,1504422,1,0.230202596377526,-1.35,-48.34,72.5,7,1,105,11382,2518,27012,1.00889e-06,11375,0.86,0.12,2e-10,0.181818182,0.92,0.019607843,1237.22,-1.35,-48.34,Amazônia
Medicilândia,1504455,1.47096544035161,0.338620063550553,-3.44,-52.88,299264.8,9313,68183,13078,3877,205267,133747,2.91044e-06,10203,0.76,0.02,0.001735609,0.153893888,0.99,0.030951692,3714,-3.44,-52.88,Amazônia
Melgaço,1504505,1,0.230202596377526,-1.8,-50.71,123.6,79,2798.36,7539,27,11839,61001,0.000119865,6825,0.96,0.01,0.000568505,0.033618985,0.89,0.012507106,3971,-1.8,-50.71,Amazônia
Mocajuba,1504604,1.45000807817925,0.333795624365251,-2.58,-49.5,26607.6,1096,2655,6351,471,23281,17071,0.000228351,18739,0.9,0.02,0.000675676,0.12985782,0.91,0.074324324,34769,-2.58,-49.5,Amazônia
Moju,1504703,1.25292014321526,0.288425470021854,-1.88,-48.76,361046.8,9148,122859,23091,5240,282760,185956,5.24093e-06,15.65,0.9,0.07,0.00120048,0.124611973,0.78,0.073572286,8778,-1.88,-48.76,Amazônia
Mojuí dos Campos,1504752,1.33127139213195,0.306462130951898,-2.68,-54.65,133125.5,3386,38349.25,4439,586,77609,65946.99,2.00094e-05,18791,0.88,0.06,0.001904762,0.116494845,0.94,0.047619048,3137,-2.68,-54.65,Amazônia
Monte Alegre,1504802,2.07010367101169,0.47654323983754,-2,-54.06,202779.7,4402,19567,13415,3881,73712,51438.23,1.9537e-06,13575,0.83,0.04,0.001420118,0.151574803,0.92,0.045443787,3111,-2,-54.06,Amazônia
Muaná,1504901,1.72187002038942,0.396378949318268,-1.52,-49.21,87666.1,4933,9996.94,9645,188,39946,44141,2.4057e-05,5438,0.94,0.01,0.002012882,0.102314251,0.97,0.034621578,10425,-1.52,-49.21,Amazônia
Nova Esperança do Piriá,1504950,2.32138948650027,0.534389886995855,-2.26,-46.96,78956.5,6414,12295,5788,1267,38141,22688,1.50219e-05,14602,0.93,0.02,0,0.098692033,0.89,0.029027576,7.4,-2.26,-46.96,Amazônia
Nova Ipixuna,1504976,2.41614879569379,0.556203726003144,-4.92,-49.07,120088.6,4050,20897,4442,1956,50166,26825.32,4.26698e-06,13745,0.82,0.11,0.004201681,0.172227232,0.99,0.056022409,10.37,-4.92,-49.07,Amazônia
Nova Timboteua,1505007,2.13461569086399,0.491394074305096,-1.2,-47.38,26337.7,479,13900.42,1994,263,31111,7274.72,2.82708e-05,12024,0.83,0.06,0.002207506,0.211726384,0.89,0.055187638,30503,-1.2,-47.38,Amazônia
Novo Progresso,1505031,1.00423637578998,0.23117782108361,-7.14,-55.38,841898.1,12921,102206,3979,10555,198950,474030,7.91009e-07,12497,0.54,0.09,0.002276176,0.33583691,0.95,0.036418816,0.66,-7.14,-55.38,Amazônia
