Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Cerqueira César,3511409,1.07891269844354,0.305588043948576,-23.03,-49.16,40462.4,22613,121232,1499,5802,253712,7582,1.10848e-05,18932,0.55,0.53,0.065989848,0.44549763,0.81,0.205583756,38104,-23.03,-49.16,Cerrado
Charqueada,3511706,1.40148972369239,0.396953807194065,-22.51,-47.77,11266.7,5489,277969.27,742,922,39610,1148,3.6696e-05,14584,0.47,0.56,0.261682243,0.479166667,0.82,0.177570093,95379,-22.51,-47.77,Cerrado
Colina,3512001,1.70132204112105,0.481877426619227,-20.71,-48.54,38503.4,26612,215703.23,2454,60680,172360,2821,1.38318e-05,14253,0.44,0.74,0.355,0.776119403,0.82,0.31,43514,-20.71,-48.54,Cerrado
Colômbia,3512100,1.28779376141622,0.364750898870761,-20.17,-48.68,64576.4,7765,237508.49,2918,17340,288465,5628,1.09155e-05,18005,0.62,0.45,0.063348416,0.547619048,0.92,0.131221719,8543,-20.17,-48.68,Cerrado
Conchal,3512209,1.04025853837937,0.294639753895518,-22.32,-47.17,14626.8,5660,60519.58,1025,2206,90768,1484.22,5.41946e-05,24285,0.68,0.19,0.022284123,0.347457627,0.72,0.116991643,150739,-22.32,-47.17,Cerrado
Conchas,3512308,1.1424430085888,0.323582181228396,-23.01,-48.01,21993.6,1352,138395.18,1283,1325,90940,2447,6.87085e-06,6448,0.81,0.57,0.170923379,0.454761905,0.97,0.194499018,37.84,-23.01,-48.01,Cerrado
Coronel Macedo,3512605,1.44128092406987,0.408224149184908,-23.63,-49.31,24257.2,4177,62523.49,1055,1109,97662,5158.7,1.82659e-05,15307,0.58,0.33,0.112676056,0.398550725,0.81,0.235915493,15.93,-23.63,-49.31,Cerrado
Corumbataí,3512704,1.48576636069802,0.420824072777434,-22.21,-47.62,20654,3099,36416,1055,1655,83181,5157.51,2.29718e-05,14502,0.46,0.48,0.033802817,0.510791367,0.81,0.107042254,14.55,-22.21,-47.62,Cerrado
Cosmorama,3512902,1.22466278753006,0.346869868412717,-20.47,-49.77,31633.4,1547,18142.65,1530,630,87805,2443,1.07589e-05,11.04,0.68,0.45,0.003344482,0.347732181,0.83,0.158862876,16695,-20.47,-49.77,Cerrado
Cravinhos,3513108,1,0.283237044470254,-21.34,-47.72,32514.1,7747,50960.48,749,360,94818,2792,2.14705e-05,18295,0.28,0.51,0.300884956,0.761904762,0.81,0.230088496,111267,-21.34,-47.72,Cerrado
Cristais Paulista,3513207,1.63179624482309,0.462185145561352,-20.39,-47.41,26595.8,5133,83871,3016,5999,120456,4493,1.76468e-05,15748,0.45,0.81,0.288288288,0.571428571,0.74,0.328828829,21867,-20.39,-47.41,Cerrado
Descalvado,3513702,1.37914302752612,0.390624395018257,-21.9,-47.61,51549.7,20211,290781,3031,53268,289297,5836.09,7.59963e-06,18.18,0.59,0.38,0.143939394,0.495726496,0.7,0.154040404,44243,-21.9,-47.61,Cerrado
Dois Córregos,3514106,1.32650030848348,0.375714026863742,-22.36,-48.38,46526.1,4683,47177,1881,1932,157333,4782,1.02267e-05,10156,0.61,0.57,0.307901907,0.417322835,0.94,0.253405995,42484,-22.36,-48.38,Cerrado
Dourado,3514304,2.20858172475914,0.625552160191795,-22.1,-48.31,19056.3,1049,52179.7,411,646,35622,3906.75,2.24609e-05,15.25,0.29,0.76,0.126984127,0.607142857,0.9,0.158730159,43274,-22.1,-48.31,Cerrado
Duartina,3514502,1.25754204946342,0.356182493387084,-22.41,-49.4,21313.3,1169,19472.22,606,935,37240,9258.5,2.06461e-05,17765,0.5,0.27,0.028225807,0.513513514,0.88,0.193548387,47434,-22.41,-49.4,Cerrado
