Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Nova Ubiratã,5106240,1.06393754239539,0.511318707888867,-12.99,-55.25,783975.9,69110,830935.46,3524,37688,1559525,306844,1.51898e-06,10733,0.68,0.54,0.092413793,0.293375394,0.8,0.31862069,0.91,-12.99,-55.25,Amazônia
Novo Mundo,5106265,1.66115777811129,0.798337322312239,-9.94,-55.19,337579.5,12395,161228.87,3400,6623,277209,119495,1.2453e-06,8372,0.72,0.14,0.015793849,0.262121212,0.9,0.248545303,1507,-9.94,-55.19,Amazônia
Novo Horizonte do Norte,5106273,1.20665181054467,0.579905887379779,-11.41,-57.35,69760.2,2997,29174.47,1269,1546,45925,14516,4.5256e-06,6136,0.81,0.12,0,0.190045249,0.99,0.202554745,4314,-11.41,-57.35,Amazônia
Paranaíta,5106299,1.58109794763131,0.759861295812924,-9.66,-56.47,380652.2,11330,116316.36,4674,7193,258049,148416,1.07341e-06,10517,0.68,0.07,0.002304148,0.197879859,0.75,0.187788018,2269,-9.66,-56.47,Amazônia
Paranatinga,5106307,1.17436092775337,0.564387182749556,-14.43,-54.05,1299909,35362,549439.21,4675,33241,1000473,526762,9.50935e-07,12307,0.58,0.25,0.003457217,0.253623188,0.67,0.14088159,0.89,-14.43,-54.05,Amazônia
Novo Santo Antônio,5106315,1.19451024785986,0.574070762763563,-12.28,-50.96,140271.9,1346,25149.25,719,1717,10380,31126.33,9.77234e-06,8.62,0.48,0.1,0.008733625,0.341614907,0.98,0.139737991,0.57,-12.28,-50.96,Amazônia
Peixoto de Azevedo,5106422,1.69812321431546,0.81610257480433,-10.22,-54.98,668826.1,17759,185550.22,6364,4542,191208,240489.48,1.36211e-06,7856,0.76,0.07,0.03577149,0.222637979,0.99,0.191671116,2335,-10.22,-54.98,Amazônia
Pontes e Lacerda,5106752,1.74685894780824,0.839524525139344,-15.22,-59.33,636327.7,17752,263587.33,4335,15307,461254,218106,7.19513e-07,9644,0.7,0.21,0.017665131,0.297333333,0.91,0.201228879,5116,-15.22,-59.33,Amazônia
Porto Alegre do Norte,5106778,1.41174231854681,0.678470520521519,-10.87,-51.63,236794.2,6763,61946.46,2744,2432,196045,80993.42,3.036e-06,8.6,0.8,0.1,0.008827238,0.312186978,0.98,0.04035309,3.02,-10.87,-51.63,Amazônia
Porto dos Gaúchos,5106802,1,0.480590906433908,-11.53,-57.41,500978.5,39936,354874.96,1533,10404,830136,226986,2.21147e-06,11904,0.5,0.32,0,0.301136364,0.9,0.28,0.77,-11.53,-57.41,Amazônia
Porto Esperidião,5106828,2.08077178867204,1,-15.85,-58.45,541108.8,9017,105496.93,3672,6992,183721,134879,8.70795e-07,8.51,0.74,0.21,0.033361848,0.253054101,0.91,0.145423439,1997,-15.85,-58.45,Amazônia
